title,phrase
US - Camizestrant - RE3_PublishedData_SERENA6,What is the trial design for SERENA-6? 
US - Acalabrutinib - SA4_AdverseEvents_ID_HepBReactivation,Hepatitis B Virus Reactivation with acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_ID_HepBReactivation,HBV reactivation and calquence
US - Acalabrutinib - SA4_AdverseEvents_ID_HepBReactivation,Hep B and calquence
US - Acalabrutinib - SA4_AdverseEvents_ID_HepBReactivation,Is there any data on the occurrence of Hepatitis B Virus Reactivation with acalabrutinib?
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,Tagrisso WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,Osimertinib WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,Tagrisso data from WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,Osimertinib data from WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,Savolitinib WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,Savolitinib data from WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,FLAURA2 WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,KCSG-LU15-09 WCLC 2023
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,tagrisso WCLC/IASLC
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,tagrisso data from WCLC
US - Osimertinib - SS3_CONTACTPHARMAGROUP_WCLC2023,tagrisso data from IASLC
US - Olaparib - SS3_ContactPharmaGroup_SGO2023,olaparib SGO 2023
US - Olaparib - SS3_ContactPharmaGroup_SGO2023,Lynparza SGO 2023
US - Olaparib - SS3_ContactPharmaGroup_SGO2023,May I see the OPUSR trial poster 
US - Olaparib - SS3_ContactPharmaGroup_SGO2023,Fetch me the info on OPUSR
US - Olaparib - SS3_ContactPharmaGroup_SGO2023,Lynparza Society of Gynecologic Oncology 2023
US - Olaparib - SS3_ContactPharmaGroup_SGO2023,Lynparza OPUS
US - Olaparib - SS3_ContactPharmaGroup_SGO2023,Lynparza Monaco
US - Osimertinib - IN3_PlaceInTherapy_CheckpointInhibitors,Can I use Tagrisso® (osimertinib) with checkpoint inhibitors?
US - Osimertinib - IN3_PlaceInTherapy_CheckpointInhibitors,Can I use Osimertinib after a checkpoint inhibitor?
US - Osimertinib - IN3_PlaceInTherapy_CheckpointInhibitors,Can I use a checkpoint inhibitor after Osimertinib?
US - Olaparib - RE4_PublishedData_SOLO1_Safety,What is the safety of SOLO-1?       
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 safety
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 safety data
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 safety results
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 long-term safety
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 7-year safety
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 7-year data
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 updated safety
US - Olaparib - RE4_PublishedData_SOLO1_Safety, SOLO-1 updated safety results
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 long term safety results
US - Olaparib - RE4_PublishedData_SOLO1_Safety,SOLO-1 long-term safety data
US - Durvalumab - RE3_OngoingStudies_HUDSON,HUDSON Trial
US - Durvalumab - RE3_OngoingStudies_HUDSON,imfinzi hudson
US - Durvalumab - RE3_OngoingStudies_HUDSON,Imfinzi and Enhertu in lung cancer
US - Durvalumab - RE3_OngoingStudies_HUDSON,Imfinzi and Enhertu in NSCLC
US - Durvalumab - RE3_OngoingStudies_HUDSON,durvalumab and trastuzumab deruxtecan in lung cancer
US - Durvalumab - RE3_OngoingStudies_HUDSON,durvalumab and trastuzumab deruxtecan in NSCLC 
US - Durvalumab - RE3_OngoingStudies_HUDSON,durvalumab and T-DXd in lung cancer 
US - Durvalumab - RE3_OngoingStudies_HUDSON,durvalumab and T-DXd in NSCLC
US - Camizestrant - SS3_CONTACTPHARMAGROUP_SABCS2023,camizestrant SABCS 2023
US - Camizestrant - SS3_CONTACTPHARMAGROUP_SABCS2023,SABCS Breast camizestrant 2023
US - Camizestrant - SS3_CONTACTPHARMAGROUP_SABCS2023,CAMBRIA-1 SABCS 2023
US - Camizestrant - SS3_CONTACTPHARMAGROUP_SABCS2023,CAMBRIA-2 SABCS 2023
US - Camizestrant - SS3_CONTACTPHARMAGROUP_SABCS2023,CAMBRIA SABCS 2023
US - Osimertinib - EF2_ClinicalTrials,What data do you have for Tagrisso
US - Osimertinib - EF2_ClinicalTrials,Clinical trials on Tagrisso
US - Osimertinib - EF2_ClinicalTrials,Clinical trials/ efficacy data for osimertinib
US - Osimertinib - EF2_ClinicalTrials,What is the efficacy of Tagrisso?
US - Osimertinib - EF2_ClinicalTrials,tagrisso efficacy
